Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2ZrZyoZJub4kQyIXmxl47l,Me Prendes,0.69,0.633,8,-7.736,0,0.0319,0.243,0,0.0648,0.884,102.107,217182,3,7wmcFE7emcdYPHOkIh1a5F
6WYB1odDfMPVMyp1QxFInT,Con Tus Besos,0.681,0.664,6,-8.019,0,0.0353,0.335,0,0.0418,0.861,102.166,226821,3,7wmcFE7emcdYPHOkIh1a5F
2QnmlK1ezVLg83Yc9OJHkk,I'm Sorry,0.842,0.453,0,-10.146,1,0.0456,0.703,1.74e-05,0.102,0.686,127.139,254560,4,7wmcFE7emcdYPHOkIh1a5F
6lF45hzdxt6Z2hQf1zzyOl,Vas A Llorar,0.742,0.823,6,-3.568,0,0.0383,0.0253,1.19e-06,0.243,0.585,92.555,185781,3,7wmcFE7emcdYPHOkIh1a5F
5aJ1M43pinROpwaPnO8KRj,Amor Tumbado,0.535,0.714,6,-5.753,0,0.0329,0.332,2.91e-06,0.0806,0.458,100.059,221554,3,7wmcFE7emcdYPHOkIh1a5F
4UiaP0wBuy9N9voD91OZOg,Palabra de Hombre,0.575,0.374,8,-2.707,1,0.0346,0.535,0,0.178,0.563,79.123,196099,4,7wmcFE7emcdYPHOkIh1a5F
6Yjh5hEKRWoQRM3ltyBOIt,Yo Te Necesito - En vivo,0.501,0.394,9,-6.702,1,0.0402,0.82,8.44e-06,0.319,0.825,176.897,188918,3,7wmcFE7emcdYPHOkIh1a5F
2KZVUNMAbJ30Tvy9PkY7dB,Tres de la Mañana,0.721,0.646,4,-7.742,0,0.0316,0.414,0,0.0841,0.898,100.357,216686,3,7wmcFE7emcdYPHOkIh1a5F
3kP4gBaDZbTd2CEvroYsdf,Tengo un Amor,0.757,0.572,8,-6.563,1,0.0302,0.564,2e-06,0.233,0.937,134.002,243000,4,7wmcFE7emcdYPHOkIh1a5F
6b6E29BB1OjWbUOShnImfS,Mi Razón,0.578,0.834,0,-2.401,0,0.0847,0.688,0.000395,0.113,0.285,185.716,201290,4,7wmcFE7emcdYPHOkIh1a5F
4a6rfxR6EprfVcjbPeiF0D,Tu Veneno,0.605,0.207,6,-12.974,0,0.0476,0.825,0.000778,0.17,0.473,110.653,174981,4,7wmcFE7emcdYPHOkIh1a5F
73Jaz0VyLFIZwRYOzHubiH,El Final,0.677,0.596,8,-10.036,1,0.121,0.312,0,0.103,0.306,172.015,159976,4,7wmcFE7emcdYPHOkIh1a5F
4VFIqq8WVP7ksDGjGPKUHz,Se Enamoro,0.642,0.661,9,-7.581,0,0.0888,0.221,0,0.0891,0.184,96.048,126407,3,7wmcFE7emcdYPHOkIh1a5F
3KJ3opyV29269SXkPrc19l,120,0.636,0.656,2,-5.542,0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,151506,4,1WvbfCLI4OKFU30r0GLvP6
3wYRLYuO1M88d8woWUIxct,Ignorantes,0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,210607,4,1WvbfCLI4OKFU30r0GLvP6
3iQOfefMGDVDwo8dZoco8T,PORFA,0.843,0.549,6,-8.018,0,0.164,0.0948,0,0.155,0.541,83.982,233000,4,1WvbfCLI4OKFU30r0GLvP6
4z6wo6PJG4Fve45OXK6D9m,Infeliz,0.713,0.798,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,176.073,221103,4,1WvbfCLI4OKFU30r0GLvP6
5DxXgozhkPLgrbKFY91w0c,Vete,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4,1WvbfCLI4OKFU30r0GLvP6
6arIFBQvpSscIQCaevwzie,Ven Pa Casa,0.542,0.275,7,-12.462,1,0.0565,0.861,0,0.107,0.501,142.139,157587,4,1WvbfCLI4OKFU30r0GLvP6
7H6OwsBoSI4BVWm5M7MTOQ,Percocet - Remix,0.807,0.504,3,-6.931,0,0.126,0.605,0,0.123,0.429,129.991,314627,4,1WvbfCLI4OKFU30r0GLvP6
